bid;area;use;free_walls;lat;lon;dist2hp
0;454.3327491;2;4;48.0758028;11.60879066;2253.782327
1;1456.463039;2;4;48.06589032;11.60969397;1348.530858
2;1431.399631;0;4;48.06748841;11.619383;2013.71769
3;1784.495342;0;4;48.06799451;11.61973645;2067.900005
4;1391.906051;3;4;48.07460263;11.609266;2145.42026
5;1628.754544;0;4;48.0568079;11.60844501;831.0798319
6;2372.486545;0;4;48.05687838;11.6049188;568.0932087
7;1470.113359;0;4;48.05693892;11.60017872;214.7770633
8;1116.299976;0;3;48.05676291;11.61064986;995.5233491
9;1092.949826;0;4;48.0566311;11.6091464;884.1704865
10;5440.809346;2;4;48.07991188;11.61389674;2826.65309
11;5382.869824;0;4;48.07938123;11.61407699;2779.732941
12;5349.289345;0;4;48.07830743;11.61454043;2689.957271
13;4549.511366;0;4;48.07881671;11.61437957;2734.240804
14;5848.750411;0;4;48.07768346;11.61478714;2638.244874
15;4141.344907;0;4;48.07732003;11.61534347;2624.187955
16;6135.434882;0;4;48.08026263;11.6164026;2947.30489
17;3614.662022;2;4;48.07977278;11.61696956;2920.708272
18;4339.009471;0;4;48.07878376;11.61757468;2849.782953
19;4275.434235;0;4;48.06343231;11.62053522;1871.415316
20;590.8992467;2;4;48.06204406;11.62027997;1800.442965
21;204.5561012;2;4;48.06208182;11.62080908;1839.277445
22;363.1245399;2;3;48.07948591;11.60665073;2589.831709
23;731.3492313;3;3;48.07955702;11.60524521;2571.329715
24;518.3595109;3;4;48.07931288;11.60558203;2550.875095
25;309.2912537;3;3;48.07933919;11.60504628;2544.360377
26;369.7793063;3;4;48.0814471;11.6051104;2774.153196
27;369.7606375;3;4;48.08080626;11.60547593;2710.511963
28;364.1753389;3;4;48.0801273;11.60581455;2642.943905
29;541.162558;2;4;48.06105626;11.61770514;1584.657869
30;605.1589663;3;4;48.06117124;11.61729541;1559.071417
31;2039.02788;3;4;48.06042369;11.61779689;1573.011051
32;6547.426882;2;4;48.06039873;11.6148058;1356.731589
33;2102.239541;2;3;48.06109209;11.6129935;1252.876248
34;3837.187556;2;3;48.06051333;11.61339596;1259.820643
35;2294.85181;3;4;48.05874638;11.62265607;1899.343994
36;4360.296227;0;3;48.0782547;11.61791083;2813.676589
37;347.1303003;3;4;48.06837238;11.6148006;1812.481301
38;2631.480408;0;3;48.06825361;11.61788851;1976.214793
39;373.4432331;2;4;48.06782792;11.61638282;1859.554823
40;373.5481103;2;4;48.06778815;11.61684102;1882.998974
41;240.8911685;3;4;48.06796051;11.61473101;1777.193205
42;344.5551437;3;4;48.06766433;11.61510279;1775.499079
43;336.8932323;3;4;48.06742376;11.61506503;1755.715919
44;323.8987901;3;4;48.06763075;11.61552265;1796.560703
45;334.8845665;3;4;48.06738551;11.61547653;1776.207086
46;279.7697684;3;4;48.06976593;11.61416259;1891.379677
47;269.2135171;3;4;48.06971442;11.61503371;1930.952574
48;307.3947959;3;4;48.06717081;11.61294537;1620.199691
49;929.5473275;3;4;48.06670254;11.61300351;1587.684725
50;730.7934018;3;4;48.06659637;11.61386771;1628.031505
51;1398.340318;2;4;48.06648142;11.61525281;1699.75274
52;479.2383508;3;3;48.06706024;11.6158958;1777.295734
53;78.0803851;3;4;48.06674272;11.61744981;1848.235791
54;167.1912368;2;4;48.0667587;11.61627383;1778.82052
55;2030.373763;2;4;48.06643707;11.61673817;1785.32812
56;262.2336081;3;4;48.07022535;11.61738215;2094.062809
57;246.6216491;3;4;48.0701781;11.617926;2119.605239
58;246.4478255;3;4;48.07043425;11.61804425;2145.655352
59;1211.974472;1;4;48.05684275;11.59736745;24.01726793
60;767.5291604;0;4;48.05680824;11.60089774;269.3888226
61;822.1180541;0;4;48.05695022;11.60135631;302.4018652
62;910.4384231;0;4;48.0569273;11.60185325;339.5199794
63;541.640929;0;4;48.05684412;11.60223139;368.1584391
64;1210.454428;2;4;48.0567634;11.6058093;634.9664653
65;626.1857867;0;4;48.05684776;11.59958149;171.4179607
66;1664.152504;0;4;48.05681693;11.60992386;941.2435503
67;1709.250309;0;4;48.05603844;11.61017748;966.4127837
68;709.2941307;0;4;48.0560847;11.60917439;891.5524315
69;627.2667861;3;3;48.07131667;11.60562579;1702.966096
70;125.5564511;3;3;48.0720736;11.60452655;1754.765974
71;235.5464671;3;4;48.07252904;11.60411245;1794.057307
72;148.0931807;3;4;48.07412448;11.60891044;2086.048078
73;1284.192877;2;4;48.07330987;11.62018355;2485.140901
74;1733.275235;1;2;48.07219726;11.61970998;2371.679871
75;414.5478961;3;4;48.06253318;11.61711976;1597.93251
76;189.7963431;3;4;48.0622532;11.6168732;1569.225553
